date,event
2020-03-30,First lockdown begins
2020-04-10,Good Friday
2020-04-12,Easter; State of emergency extended
2020-04-14,School term begins
2020-04-25,ANZAC Day
2020-04-27,Testing blitz announced
2020-05-13,First lockdown ends
2020-05-17,Easing plan revealed
2020-05-24,'Stay-safe' message softening
2020-05-29,'Reasons to leave' message softening
2020-06-01,Cafes reopen
2020-06-06,Black Lives Matter protests
2020-06-08,Queen's Birthday
2020-06-14,Further easing revealed
2020-06-20,Easing halted
2020-06-25,Hot-spot testing blitz
2020-06-26,School holidays begin
2020-06-30,Hot-spot lockdown
2020-07-04,Tower lockdown
2020-07-07,City lockdown announced
2020-07-09,City lockdown in effect
2020-07-10,Face covering recommended
2020-07-03,Spike of 254 new cases
2020-07-13,Senior schools return
2020-07-15,Police crackdown announced
2020-07-17,Regional escalation
2020-07-19,Face covering mandatory
2020-07-20,All schools return
2020-07-30,Record 721 cases
2020-08-02,Stage Four announced and effective
2020-08-06,Business lockdown in effect